compound,auid,Egap,Egap_type,enthalpy_formation_atom,volume_atom,spacegroup_relax,Pearson_symbol_relax,aurl
Ag1Al2Ba1,aflow:28811505eb2d9ac4,,,-0.206445,27.2353,160,hR4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC006.BCA
Ag1Al2Ba1,aflow:4a9a7c23bf0596ff,,,-0.0156328,24.3056,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC012.BCA
Ag1Al2Ba1,aflow:50947a9f808b7303,,,0.043529,24.8819,216,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/T0002.AB2C
Ag1Al2Ba1,aflow:510328ab85d2f4a9,,,-0.016041,24.4077,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TBCC011.BCA
Ag1Al2Ba1,aflow:53bb478d21760384,,,0.0278928,26.262,44,oI8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TBCC007.BCA
Ag1Al2Ba1,aflow:649166ab8500910c,,,0.168283,26.2386,123,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC014.BCA
Ag1Al2Ba1,aflow:68ac9b6d41533cc2,,,-0.0107727,24.4411,25,oP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC005.BCA
Ag1Al2Ba1,aflow:6ed9a2c3a059c940,,,0.117664,24.4875,225,cF16,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/T0001.AB2C
Ag1Al2Ba1,aflow:75cf968fdfd8572d,,,-0.0087415,24.4731,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC007.BCA
Ag1Al2Ba1,aflow:7fb9b9fb3c446f46,,,-0.206207,27.2841,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TFCC011.BCA
Ag1Al2Ba1,aflow:83ef88efef1c05be,,,-0.0225847,26.4872,6,mP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TBCC005.BCA
Ag1Al2Ba1,aflow:93d479def29584e5,,,0.298526,25.5158,12,mS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TBCC014.BCA
Ag1Al2Ba1,aflow:9e6ec17111243ea2,,,-0.0126947,24.4386,99,tP4,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TBCC006.BCA
Ag1Al2Ba1,aflow:a0a89b15945c87af,,,-0.0163494,24.2658,65,oS8,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/AgAlBa_sv/TBCC009.BCA
